step,algae,light,nutrient,temp,ultrasound,trace_element,reward
1,1.6399194,0.5361282,0.6,0.48496297,0.51594883,0.45356163,1.6399194
2,2.3276489,0.5869575,0.70000005,0.48269626,0.53587407,0.39226717,2.3276489
3,3.069684,0.6489543,0.8000001,0.49272892,0.55915976,0.31899488,3.069684
4,3.8652205,0.7185579,0.9000001,0.51486224,0.5852947,0.23641866,3.8652205
5,4.71052,0.7925871,1.0,0.5489273,0.6140905,0.14690511,4.71052
6,5.573902,0.8684796,1.0,0.5945902,0.6456652,0.052509688,5.573902
7,6.4544635,0.9426845,1.0,0.6531047,0.68216974,0.0,6.4544635
8,7.3461285,1.0,1.0,0.72228235,0.7224247,0.0,7.3461285
9,8.224363,1.0,1.0,0.80002624,0.764804,0.0,8.224363
10,9.087705,1.0,1.0,0.8854608,0.80866927,0.0,9.087705
11,9.93496,1.0,1.0,0.9772012,0.85391,0.0,9.93496
12,10.0,1.0,1.0,1.0,0.9003749,0.0,10.0
13,10.0,1.0,1.0,1.0,0.9476087,0.0,10.0
14,10.0,1.0,1.0,1.0,0.99565077,0.0,10.0
15,10.0,1.0,1.0,1.0,1.0,0.0,10.0
16,10.0,1.0,1.0,1.0,1.0,0.0,10.0
17,10.0,1.0,1.0,1.0,1.0,0.0,10.0
18,10.0,1.0,1.0,1.0,1.0,0.0,10.0
19,10.0,1.0,1.0,1.0,1.0,0.0,10.0
20,10.0,1.0,1.0,1.0,1.0,0.0,10.0
21,10.0,1.0,1.0,1.0,1.0,0.0,10.0
22,10.0,1.0,1.0,1.0,1.0,0.0,10.0
23,10.0,1.0,1.0,1.0,1.0,0.0,10.0
24,10.0,1.0,1.0,1.0,1.0,0.0,10.0
25,10.0,1.0,1.0,1.0,1.0,0.0,10.0
26,10.0,1.0,1.0,1.0,1.0,0.0,10.0
27,10.0,1.0,1.0,1.0,1.0,0.0,10.0
28,10.0,1.0,1.0,1.0,1.0,0.0,10.0
29,10.0,1.0,1.0,1.0,1.0,0.0,10.0
30,10.0,1.0,1.0,1.0,1.0,0.0,10.0
31,10.0,1.0,1.0,1.0,1.0,0.0,10.0
32,10.0,1.0,1.0,1.0,1.0,0.0,10.0
33,10.0,1.0,1.0,1.0,1.0,0.0,10.0
34,10.0,1.0,1.0,1.0,1.0,0.0,10.0
35,10.0,1.0,1.0,1.0,1.0,0.0,10.0
36,10.0,1.0,1.0,1.0,1.0,0.0,10.0
37,10.0,1.0,1.0,1.0,1.0,0.0,10.0
38,10.0,1.0,1.0,1.0,1.0,0.0,10.0
39,10.0,1.0,1.0,1.0,1.0,0.0,10.0
40,10.0,1.0,1.0,1.0,1.0,0.0,10.0
41,10.0,1.0,1.0,1.0,1.0,0.0,10.0
42,10.0,1.0,1.0,1.0,1.0,0.0,10.0
43,10.0,1.0,1.0,1.0,1.0,0.0,10.0
44,10.0,1.0,1.0,1.0,1.0,0.0,10.0
45,10.0,1.0,1.0,1.0,1.0,0.0,10.0
46,10.0,1.0,1.0,1.0,1.0,0.0,10.0
47,10.0,1.0,1.0,1.0,1.0,0.0,10.0
48,10.0,1.0,1.0,1.0,1.0,0.0,10.0
49,10.0,1.0,1.0,1.0,1.0,0.0,10.0
50,10.0,1.0,1.0,1.0,1.0,0.0,10.0
